No,Link
107,https://finance.detik.com/berita-ekonomi-bisnis/d-6055881/asdp-tambah-kapal-merak-bakauheni-jadi-40-bongkar-muat-dipercepat?pk_vid=b9277c572f02caa9175799645246444d
108,https://news.detik.com/berita/d-6055880/minta-maaf-asdp-jelaskan-penyebab-aplikasi-pesan-tiket-kapal-feri-eror?pk_vid=b9277c572f02caa9175799645946444d
109,https://news.detik.com/berita/d-6026707/pemudik-di-pelabuhan-merak-diprediksi-naik-10-70-kapal-disiapkan?pk_vid=b9277c572f02caa9175799646446444d
110,https://news.detik.com/berita/d-6023201/jelang-mudik-harga-tiket-kapal-feri-diusulkan-naik-24-persen?pk_vid=b9277c572f02caa9175799647046444d
111,https://finance.detik.com/berita-ekonomi-bisnis/d-6006529/mau-mudik-naik-kapal-feri-beli-tiketnya-via-aplikasi-tak-bisa-tunai?pk_vid=b9277c572f02caa9175799648246444d
112,https://finance.detik.com/berita-ekonomi-bisnis/d-5974898/pengumuman-naik-kapal-feri-juga-tak-perlu-tes-corona?pk_vid=b9277c572f02caa9175799648746444d
113,https://finance.detik.com/berita-ekonomi-bisnis/d-5954126/akuisisi-jembatan-nusantara-asdp-kini-punya-219-kapal?pk_vid=b9277c572f02caa9175799649746444d
114,https://news.detik.com/internasional/d-5868757/32-orang-tewas-dalam-insiden-kapal-feri-terbakar-di-bangladesh?pk_vid=b9277c572f02caa9175799650246444d
115,https://news.detik.com/berita/d-5858501/mencekam-kisah-bupati-kukar-selamatkan-diri-saat-kapal-karam?pk_vid=b9277c572f02caa9175799650746444d
116,https://news.detik.com/berita/d-5856678/kapal-feri-yang-ditumpanginya-karam-bupati-kutai-kartanegara-selamat?pk_vid=b9277c572f02caa9175799651446444d
117,https://news.detik.com/berita/d-5825136/angin-kencang-dua-kapal-feri-di-merak-banten-tabrakan?pk_vid=b9277c572f02caa9175799652046444d
118,https://finance.detik.com/berita-ekonomi-bisnis/d-5780702/sistem-tiket-kapal-feri-diubah-jadi-digital-hasilnya-gimana?pk_vid=b9277c572f02caa9175799652546444d
119,https://20.detik.com/detikflash/20210807-210807047/kebakaran-hutan-di-yunani-warga-dievakuasi-pakai-kapal-feri?pk_vid=b9277c572f02caa9175799653646444d
120,https://news.detik.com/berita/d-5671404/basarnas-stop-pencarian-penumpang-kapal-feri-yang-terjun-di-selat-bali?pk_vid=b9277c572f02caa9175799654146444d
121,https://news.detik.com/berita/d-5662522/tim-sar-lanjut-cari-penumpang-kapal-feri-yang-terjun-di-selat-bali?pk_vid=b9277c572f02caa9175799656246444d
122,https://news.detik.com/berita-jawa-timur/d-5662295/seorang-penumpang-kapal-feri-hilang-terjun-ke-laut-di-perairan-gilimanuk?pk_vid=b9277c572f02caa9175799656846444d
123,https://finance.detik.com/moneter/d-5612316/beli-tiket-kapal-feri-kini-bisa-lewat-agenbrilink?pk_vid=b9277c572f02caa9175799657446444d
124,https://finance.detik.com/berita-ekonomi-bisnis/d-5526968/mudik-dilarang-penjualan-tiket-penumpang-kapal-feri-disetop?pk_vid=b9277c572f02caa9175799658246444d
125,https://news.detik.com/foto-news/d-5522062/kapal-feri-di-bangladesh-tenggelam-26-orang-tewas?pk_vid=b9277c572f02caa9175799658846444d
126,https://travel.detik.com/travel-news/d-5378805/ditiup-angin-kencang-kapal-feri-selandia-baru-terombang-ambing-12-jam?pk_vid=b9277c572f02caa9175799659546444d
127,https://news.detik.com/berita/d-5353154/kapal-feri-tabrak-dermaga-di-merak-banten-tak-ada-korban-jiwa?pk_vid=b9277c572f02caa9175799663346444d
128,https://travel.detik.com/travel-news/d-5271905/kapal-kandas-400-penumpang-terdampar?pk_vid=b9277c572f02caa9175799663946444d
129,https://travel.detik.com/fototravel/d-5245898/rupa-kapal-feri-yang-bisa-melaju-sendiri?pk_vid=b9277c572f02caa9175799664446444d
130,https://travel.detik.com/travel-news/d-5244991/norwegia-pelopori-feri-listrik-makin-canggih-dengan-adanya-otonom?pk_vid=b9277c572f02caa9175799665546444d
131,https://news.detik.com/berita/d-5183666/5-pegawai-kantin-kapal-feri-di-pelabuhan-merak-positif-corona?pk_vid=b9277c572f02caa9175799666646444d
132,https://finance.detik.com/berita-ekonomi-bisnis/d-5176846/penyeberangan-kapal-feri-ke-bali-belum-pulih-ini-penyebabnya?pk_vid=b9277c572f02caa9175799667246444d
133,https://news.detik.com/berita/d-5168458/abk-kapal-feri-tenggelam-yang-hilang-di-kutim-ditemukan-tewas?pk_vid=b9277c572f02caa9175799668146444d
134,https://news.detik.com/berita/d-5165279/kapal-feri-tenggelam-akibat-dihantam-gelombang-di-kutim-1-abk-hilang?pk_vid=b9277c572f02caa9175799668646444d
135,https://travel.detik.com/travel-news/d-5152880/waduh-penumpang-di-kapal-sydney-ini-harus-nunduk-kalau-lewati-jembatan?pk_vid=b9277c572f02caa9175799669346444d
136,https://news.detik.com/berita/d-5108006/digitalisasi-asdp-pemerintah-resmikan-layanan-tiket-online-ferizy?pk_vid=b9277c572f02caa9175799669846444d
137,https://finance.detik.com/berita-ekonomi-bisnis/d-5107458/asdp-kelola-12-dermaga-penyeberangan-baru-di-danau-toba?pk_vid=b9277c572f02caa9175799671646444d
138,https://news.detik.com/berita/d-5089513/evakuasi-kapal-feri-tuntas-pelabuhan-padang-bai-bakal-operasi-lagi?pk_vid=b9277c572f02caa9175799672146444d
